# Derived from cve-1000/pool.tsv and cve-1000/ledger.tsv by build_digest.py.
# Regenerate rather than edit. Columns: rank, cve, status.
# PENDING means the pool holds this rank and no review has been recorded.
151	CVE-2024-9312	ATTENTION
152	CVE-2021-32637	ATTENTION
153	CVE-2013-10013	FIXED
154	CVE-2024-23647	ATTENTION
155	CVE-2024-29901	ATTENTION
156	CVE-2025-62706	ATTENTION
157	CVE-2026-27962	FIXED
158	CVE-2020-35678	FIXED
159	CVE-2025-55165	ATTENTION
160	CVE-2024-49376	ATTENTION
161	CVE-2024-40400	FIXED
162	CVE-2022-25194	ATTENTION
163	CVE-2026-2430	ATTENTION
164	CVE-2026-34933	ATTENTION
165	CVE-2020-28371	ATTENTION
166	CVE-2019-16124	ATTENTION
167	CVE-2026-33024	FIXED
168	CVE-2023-34102	ATTENTION
169	CVE-2026-46384	ATTENTION
170	CVE-2026-7629	CAUGHT
171	CVE-2026-11401	ATTENTION
172	CVE-2018-1000402	ATTENTION
173	CVE-2021-21625	ATTENTION
174	CVE-2019-1003064	ATTENTION
175	CVE-2026-6437	FIXED
176	CVE-2020-2311	ATTENTION
177	CVE-2021-40828	FIXED
178	CVE-2018-7560	FIXED
179	CVE-2026-32265	ATTENTION
180	CVE-2020-2180	FIXED
181	CVE-2019-10742	FIXED
182	CVE-2007-2353	FIXED
183	CVE-2007-2353	CAUGHT
184	CVE-2020-36641	CAUGHT
185	CVE-2026-42606	FIXED
186	CVE-2026-32268	ATTENTION
187	CVE-2019-1003036	ATTENTION
188	CVE-2016-8901	FIXED
189	CVE-2016-10537	FIXED
190	CVE-2025-47941	FIXED
191	CVE-2025-49652	FIXED
192	CVE-2023-35926	FIXED
193	CVE-2026-26978	FIXED
194	CVE-2017-15367	FIXED
195	CVE-2026-21439	FIXED
196	CVE-2023-36238	ATTENTION
197	CVE-2026-4500	FIXED
198	CVE-2026-48063	ATTENTION
199	CVE-2026-49136	CAUGHT
200	CVE-2014-0592	FIXED
201	CVE-2026-33243	ATTENTION
202	CVE-2023-45292	FIXED
203	CVE-2023-25654	FIXED
204	CVE-2024-47178	ATTENTION
205	CVE-2026-27699	FIXED
206	CVE-2014-7205	FIXED
207	CVE-2026-33817	FIXED
208	CVE-2025-10284	CAUGHT
209	CVE-2017-13098	ATTENTION
210	CVE-2026-33306	FIXED
211	CVE-2012-3458	FIXED
212	CVE-2016-2510	FIXED
213	CVE-2022-0501	FIXED
214	CVE-2010-2060	FIXED
215	CVE-2017-11480	FIXED
216	CVE-2025-0660	FIXED
217	CVE-2019-16354	CAUGHT
218	CVE-2019-16354	CAUGHT
219	CVE-2024-55893	FIXED
220	CVE-2025-27520	FIXED
221	CVE-2024-56734	FIXED
222	CVE-2026-8276	FIXED
223	CVE-2024-55894	FIXED
224	CVE-2019-10780	FIXED
225	CVE-2022-39267	ATTENTION
226	CVE-2026-41126	FIXED
227	CVE-2016-10223	FIXED
228	CVE-2022-36078	FIXED
229	CVE-2026-8257	ATTENTION
230	CVE-2021-39159	CAUGHT
231	CVE-2022-4510	CAUGHT
232	CVE-2023-0100	FIXED
233	CVE-2023-24427	ATTENTION
234	CVE-2013-4165	ATTENTION
235	CVE-2026-44714	ATTENTION
236	CVE-2016-10189	FIXED
237	CVE-2026-31900	ATTENTION
238	CVE-2024-3825	ATTENTION
239	CVE-2025-13472	ATTENTION
